tweet_user, tweet_text,  replies,  retweets
@Fin24,/^b'#LoadShedding: Want to find out how you will be affected during load shedding? Here are the links to the published load shedding schedules of major municipalities: https://bit.ly/2rnxWuF\xc2\xa0pic.twitter.com/IOoNx18T4M'$/,1 reply,9 retweets
@Fin24,/^b"http://Fin24.com\xc2\xa0 | Don't get a nasty surprise! How to understand insurance jargonhttps://www.fin24.com/Money/Insurance/dont-get-a-nasty-surprise-how-to-understand-insurance-jargon-20191209\xc2\xa0\xe2\x80\xa6"$/,0 replies,2 retweets
@Fin24,/^b"http://Fin24.com\xc2\xa0 | Ramaphosa: Public anger over 'devastating' power cuts is understandablehttps://www.fin24.com/Economy/ramaphosa-public-anger-over-devastating-power-cuts-is-understandable-20191209\xc2\xa0\xe2\x80\xa6"$/,1 reply,1 retweet
@Fin24,/^b'http://Fin24.com\xc2\xa0 | Load shedding: Diamond mine stops operations to reduce demand loadhttps://www.fin24.com/Companies/Mining/load-shedding-diamond-mine-stops-operations-to-reduce-demand-load-20191209\xc2\xa0\xe2\x80\xa6'$/,0 replies,1 retweet
@Fin24,/^b'http://Fin24.com\xc2\xa0 | Local bourse struggles for directionhttps://www.fin24.com/Markets/Equities/local-bourse-struggles-for-direction-20191209\xc2\xa0\xe2\x80\xa6'$/,1 reply,1 retweet
@Fin24,/^b'http://Fin24.com\xc2\xa0 | Stage 6 load shedding: What you need to knowhttps://www.fin24.com/Economy/Eskom/stage-6-load-shedding-what-you-need-to-know-20191209\xc2\xa0\xe2\x80\xa6'$/,2 replies,1 retweet
@Fin24,/^b'Stage 6 load shedding: What you need to know\nhttps://bit.ly/2E1mpYf\xc2\xa0pic.twitter.com/GMkK76qRTz'$/,4 replies,2 retweets
@Fin24,/^b'http://Fin24.com\xc2\xa0 | BREAKING: Eskom moves to stage 6 load sheddinghttps://www.fin24.com/Economy/Eskom/breaking-eskom-moves-to-stage-6-load-shedding-20191209\xc2\xa0\xe2\x80\xa6'$/,4 replies,6 retweets
@Fin24,/^b'JUST IN: Eskom to introduce stage 6 load shedding\nhttps://bit.ly/2P3Iz29\xc2\xa0pic.twitter.com/E2nFgsg8g7'$/,6 replies,27 retweets
@Fin24,/^b'http://Fin24.com\xc2\xa0 | SAA may only be offered 5% of money owed by Zimhttps://www.fin24.com/Companies/Industrial/saa-may-only-be-offered-5-of-money-owed-by-zim-20191209\xc2\xa0\xe2\x80\xa6'$/,1 reply,3 retweets
@Fin24,/^b'Low cost benefit healthcare options no longer to be offered by medical schemes, insurers - regulator: https://bit.ly/2RB8sIG\xc2\xa0pic.twitter.com/jzRkL8p6lL'$/,2 replies,3 retweets
@Fin24,/^b'http://Fin24.com\xc2\xa0 | The skills you\xe2\x80\x99ll need to future-proof your career - and not be replaced by robotshttps://www.fin24.com/PartnerContent/future-proof-your-career-this-cyber-monday-20191202\xc2\xa0\xe2\x80\xa6'$/,0 replies,0 retweets
@Fin24,/^b'http://Fin24.com\xc2\xa0 | Ramaphosa: We will take drastic steps to save state companies - just look at SAAhttps://www.fin24.com/Economy/ramaphosa-we-will-take-drastic-steps-to-save-state-companies-just-look-at-saa-20191209\xc2\xa0\xe2\x80\xa6'$/,4 replies,0 retweets
@Fin24,/^b"http://Fin24.com\xc2\xa0 | Chris van der Merwe to step down as Stadio's CEOhttps://www.fin24.com/Companies/Investment-Holdings/chris-van-der-merwe-to-step-down-as-stadios-ceo-in-march-2020-20191209\xc2\xa0\xe2\x80\xa6"$/,0 replies,0 retweets
@Fin24,/^b'http://Fin24.com\xc2\xa0 | Prosus raises offer for Just Eat app as takeover bids intensifyhttps://www.fin24.com/Companies/ICT/prosus-raises-offer-for-just-eat-app-as-takeover-bids-intensify-20191209\xc2\xa0\xe2\x80\xa6'$/,0 replies,0 retweets
@Fin24,/^b'http://Fin24.com\xc2\xa0 | Alexander Forbes: We have turned a cornerhttps://www.fin24.com/Companies/Financial-Services/alexander-forbes-we-have-turned-a-corner-20191209\xc2\xa0\xe2\x80\xa6'$/,0 replies,0 retweets
@Fin24,/^b'http://Fin24.com\xc2\xa0 | What now for R1.1bn settlement SAA has with Comair?https://www.fin24.com/Companies/Industrial/what-now-for-r11bn-settlement-saa-has-with-comair-20191209\xc2\xa0\xe2\x80\xa6'$/,0 replies,1 retweet
@Fin24,/^b'http://Fin24.com\xc2\xa0 | Mbalula dissolves Prasa interim board, places it under administrationhttps://www.fin24.com/Companies/breaking-mbalula-dissolves-prasa-interim-board-places-it-under-administration-20191209\xc2\xa0\xe2\x80\xa6'$/,0 replies,0 retweets
@Fin24,/^b'Alexander Forbes: We have turned a corner - https://bit.ly/343JHqT\xc2\xa0pic.twitter.com/B3J7rwv1S9'$/,0 replies,0 retweets
@Fin24,/^b'#Fin24MoneyClinic Do you have a money problem that needs solving? Fin24 can help! Send your question to editor@fin24.com or find the Money Clinic box on the right of our homepage.pic.twitter.com/6r48ougjOd'$/,0 replies,4 retweets
@Fin24,/^b'Pricing your property to sell: 11 expert tips - https://bit.ly/341fs44\xc2\xa0pic.twitter.com/tBwL4a6uKi'$/,0 replies,3 retweets
