Image,Number,Artist,Title,Streams,Date
0,2,Marshmello,Happier,"4,429",2018-11-30
1,3,Halsey,Without Me,"4,245",2018-11-30
2,4,benny blanco,Eastside (with Halsey & Khalid),"4,010",2018-11-30
3,5,Sheck Wes,Mo Bamba,"3,827",2018-11-30
4,6,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,"3,796",2018-11-30
5,7,5 Seconds of Summer,Youngblood,"3,644",2018-11-30
6,8,Dynoro,In My Mind,"3,619",2018-11-30
7,9,Travis Scott,SICKO MODE,"3,608",2018-11-30
8,10,Black Coffee,Drive (feat. Delilah Montagu) - Edit,"3,486",2018-11-30
9,11,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","3,377",2018-11-30
10,12,Kodak Black,ZEZE (feat. Travis Scott & Offset),"3,344",2018-11-30
11,13,Khalid,Better,"3,292",2018-11-30
12,14,6ix9ine,TIC TOC,"3,276",2018-11-30
13,15,Post Malone,Better Now,"3,162",2018-11-30
14,16,Meek Mill,Going Bad (feat. Drake),"2,796",2018-11-30
15,17,George Ezra,Shotgun,"2,745",2018-11-30
16,18,Maroon 5,Girls Like You (feat. Cardi B),"2,729",2018-11-30
17,19,Billie Eilish,when the party's over,"2,614",2018-11-30
18,20,Juice WRLD,Lucid Dreams,"2,602",2018-11-30
19,21,Jonas Blue,Rise,"2,545",2018-11-30
20,22,Lady Gaga,Shallow,"2,492",2018-11-30
21,23,Loud Luxury,Body (feat. Brando),"2,491",2018-11-30
22,24,Calvin Harris,Promises (with Sam Smith),"2,458",2018-11-30
23,25,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),"2,447",2018-11-30
24,26,Cassper Nyovest,Who Got The Block Hot?,"2,447",2018-11-30
25,27,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),"2,367",2018-11-30
26,28,Meek Mill,What's Free (feat. Rick Ross & Jay Z),"2,298",2018-11-30
27,29,6ix9ine,MAMA,"2,287",2018-11-30
28,30,Prince Kaybee,Banomoya,"2,256",2018-11-30
29,31,Kygo,Happy Now,"2,229",2018-11-30
30,32,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),"2,171",2018-11-30
31,33,Lauv,I Like Me Better,"2,111",2018-11-30
32,34,Dean Lewis,Be Alright,"2,063",2018-11-30
33,35,Imagine Dragons,Bad Liar,"2,056",2018-11-30
34,36,Tyga,Taste (feat. Offset),"2,046",2018-11-30
35,37,XXXTENTACION,SAD!,"2,039",2018-11-30
36,38,Anne-Marie,2002,"2,035",2018-11-30
37,39,XXXTENTACION,BAD!,"2,004",2018-11-30
38,40,Billie Eilish,come out and play,"1,996",2018-11-30
39,41,The Chainsmokers,This Feeling (feat. Kelsea Ballerini),"1,983",2018-11-30
40,42,Zedd,The Middle,"1,977",2018-11-30
