"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2019","55,676.31","55,413.01","55,732.49","55,413.01","-","0.47%"
"Dec 10, 2019","55,417.93","55,202.84","55,430.24","54,632.05","250.63M","0.27%"
"Dec 09, 2019","55,269.20","55,227.65","55,515.19","55,052.99","172.81M","-0.07%"
"Dec 06, 2019","55,307.31","54,971.72","55,416.22","54,779.76","269.60M","0.96%"
"Dec 05, 2019","54,779.76","55,050.20","55,180.87","54,695.57","281.43M","-0.44%"
"Dec 04, 2019","55,022.87","54,452.94","55,155.59","54,429.97","270.55M","0.99%"
"Dec 03, 2019","54,485.41","54,738.02","54,814.07","54,413.84","345.18M","-0.60%"
"Dec 02, 2019","54,814.07","55,414.20","55,504.92","54,740.61","309.16M","-0.97%"
"Nov 29, 2019","55,349.01","55,605.80","55,702.45","55,057.27","259.00M","-0.63%"
"Nov 28, 2019","55,702.45","56,171.44","56,173.86","55,702.45","207.62M","-0.84%"
"Nov 27, 2019","56,173.86","56,266.47","56,606.56","56,053.38","250.65M","0.21%"
"Nov 26, 2019","56,053.38","56,669.60","56,904.86","56,053.38","1.13B","-1.22%"
"Nov 25, 2019","56,747.88","56,667.59","57,068.02","56,603.93","257.36M","-0.02%"
"Nov 22, 2019","56,759.62","56,620.84","56,887.72","56,311.72","261.94M","0.39%"
"Nov 21, 2019","56,540.25","57,031.79","57,313.44","56,449.91","285.00M","-1.35%"
"Nov 20, 2019","57,313.44","57,174.48","57,372.55","56,904.18","255.45M","-0.10%"
"Nov 19, 2019","57,372.55","56,592.78","57,382.79","56,467.03","262.66M","1.60%"
"Nov 18, 2019","56,467.03","56,299.75","56,798.91","56,054.77","190.79M","0.74%"
"Nov 15, 2019","56,054.77","56,307.35","56,466.05","56,034.94","239.26M","-0.32%"
"Nov 14, 2019","56,235.94","56,238.75","56,511.41","56,161.54","245.84M","-0.18%"
"Nov 13, 2019","56,338.33","56,293.27","56,417.96","55,924.20","270.25M","-0.11%"
"Nov 12, 2019","56,399.10","56,373.34","56,624.27","56,174.93","273.06M","0.40%"
"Nov 11, 2019","56,174.93","56,365.51","56,617.02","55,930.50","241.89M","-0.78%"
"Nov 08, 2019","56,617.02","57,087.04","57,483.00","56,498.96","293.06M","-1.51%"
"Nov 07, 2019","57,483.00","57,527.47","58,018.12","57,414.45","247.24M","-0.29%"
"Nov 06, 2019","57,652.58","57,319.88","57,869.45","57,126.08","283.81M","0.71%"
"Nov 05, 2019","57,246.91","56,976.24","57,420.34","56,928.87","287.77M","0.56%"
"Nov 04, 2019","56,928.87","56,705.31","56,984.37","56,650.01","215.56M","0.49%"
"Nov 01, 2019","56,650.01","56,408.84","56,744.15","56,353.23","205.92M","0.40%"
"Oct 31, 2019","56,425.11","56,057.09","56,775.24","55,872.60","384.82M","0.99%"
"Oct 30, 2019","55,872.60","55,632.78","55,925.49","54,770.10","315.40M","0.28%"
"Oct 29, 2019","55,716.69","55,634.80","55,944.46","55,399.35","231.94M","-0.08%"
"Oct 28, 2019","55,761.98","55,312.18","55,933.03","55,141.98","207.94M","1.12%"
"Oct 25, 2019","55,141.98","55,588.94","55,680.24","54,983.53","217.78M","-0.61%"
"Oct 24, 2019","55,478.45","55,805.41","56,069.49","55,426.88","243.03M","-0.17%"
"Oct 23, 2019","55,571.45","55,735.98","55,936.83","55,361.79","230.87M","-0.65%"
"Oct 22, 2019","55,936.83","55,954.40","56,254.39","55,860.53","291.88M","-0.31%"
"Oct 21, 2019","56,110.78","55,692.91","56,261.96","55,630.26","199.99M","0.70%"
"Oct 18, 2019","55,722.79","55,914.10","56,076.72","55,722.79","406.55M","-0.48%"
"Oct 17, 2019","55,993.42","55,935.82","56,576.80","55,933.75","303.33M","-0.17%"
"Oct 16, 2019","56,090.51","55,649.37","56,125.37","55,350.85","298.02M","0.93%"
"Oct 15, 2019","55,573.79","55,492.76","55,624.54","55,219.21","195.22M","0.64%"
"Oct 14, 2019","55,219.21","55,672.71","55,672.71","54,947.96","174.98M","-0.57%"
"Oct 11, 2019","55,537.02","55,231.82","55,753.98","55,071.77","294.62M","0.84%"
"Oct 10, 2019","55,071.77","54,387.09","55,122.56","54,339.47","258.45M","1.35%"
"Oct 09, 2019","54,339.47","54,323.33","54,535.45","54,205.18","213.95M","-0.35%"
"Oct 08, 2019","54,532.68","54,774.84","54,797.38","54,450.33","241.72M","-0.33%"
"Oct 07, 2019","54,714.75","54,161.93","54,770.34","53,960.03","218.62M","1.34%"
"Oct 04, 2019","53,993.87","53,821.16","54,121.82","53,727.29","311.51M","0.50%"
"Oct 03, 2019","53,727.29","53,955.02","54,024.22","53,537.69","255.84M","-0.51%"
"Oct 02, 2019","54,003.82","54,766.87","54,945.89","53,919.98","311.40M","-1.71%"
"Oct 01, 2019","54,945.89","54,788.04","55,106.58","54,691.50","249.35M","0.22%"
"Sep 30, 2019","54,824.97","55,208.68","55,270.18","54,624.53","262.80M","-0.70%"
"Sep 27, 2019","55,209.03","55,242.84","55,470.63","55,057.74","211.67M","-0.11%"
"Sep 26, 2019","55,271.38","54,967.72","55,628.70","54,876.83","237.31M","0.72%"
"Sep 25, 2019","54,876.83","55,084.78","55,622.80","54,623.08","312.38M","-1.34%"
"Sep 23, 2019","55,622.80","56,434.74","56,434.74","55,357.88","228.24M","-1.39%"
"Sep 20, 2019","56,406.89","56,337.67","56,604.08","56,208.59","781.88M","0.50%"
"Sep 19, 2019","56,123.83","55,926.40","56,226.96","55,731.62","555.23M","-0.17%"
"Sep 18, 2019","56,220.41","56,778.33","56,895.23","56,029.80","259.60M","-1.19%"
"Sep 17, 2019","56,895.23","57,543.23","57,853.90","56,895.23","310.01M","-1.66%"
"Sep 16, 2019","57,853.90","57,179.91","57,853.90","57,123.78","365.64M","1.28%"
"Sep 13, 2019","57,123.78","56,809.12","57,387.72","56,726.85","255.94M","0.60%"
"Sep 12, 2019","56,781.94","56,478.65","57,044.88","56,243.78","289.55M","0.96%"
"Sep 11, 2019","56,243.78","55,470.44","56,243.78","55,335.81","278.17M","1.64%"
"Sep 10, 2019","55,335.81","55,466.48","55,523.07","55,003.80","206.23M","-0.34%"
"Sep 09, 2019","55,523.07","55,623.04","55,771.08","55,289.10","194.51M","-0.12%"
"Sep 06, 2019","55,591.09","55,405.14","55,934.13","55,335.73","223.10M","0.21%"
"Sep 05, 2019","55,476.36","55,042.56","55,738.48","54,907.17","252.71M","1.04%"
