tweet_user, tweet_text,  replies,  retweets
@AdrianSaville,/^b'Jim Bailey, 100 years later: Remembering the extraordinary life of SA\xe2\x80\x99s original media maverickhttps://www.dailymaverick.co.za/article/2019-12-04-remembering-the-extraordinary-life-of-sas-original-media-maverick/\xc2\xa0\xe2\x80\xa6'$/,0 replies,0 retweets
@AdrianSaville,/^b'In 1997, the former Soviet leader needed money, and Pizza Hut needed a spokesman. Greatness ensued.https://foreignpolicy.com/2019/11/28/mikhail-gorbachev-pizza-hut-ad-thanksgiving-miracle/\xc2\xa0\xe2\x80\xa6'$/,0 replies,1 retweet
@Kumeran1618,/^b'@AdrianSavillehttps://twitter.com/morganhousel/status/1203019285158862848\xc2\xa0\xe2\x80\xa6'$/,0 replies,1 retweet
@dougv,/^b'Totally misleading graph with a base of 150 instead of zero and also shows that CO2 doubled in the past without catastrophic results. Also doesn\xe2\x80\x99t go far back enough to when CO2 was higher than now.'$/,1 reply,1 retweet
@CapitalRSA,/^b'First sensible well informed article on SAA business rescue.'$/,0 replies,1 retweet
@yanga_nozibele,/^b'How has this thing missed inflation? Is it me or has this been going for R5 for the past 15 year?pic.twitter.com/hi5xd2ej3g'$/,3 replies,2 retweets
@AdrianSaville,/^b'https://www.bloomberg.com/opinion/articles/2019-12-02/cebu-this-philippine-city-is-the-most-typical-place-in-the-world?utm_medium=email&utm_source=newsletter&utm_term=191206&utm_campaign=sharetheview\xc2\xa0\xe2\x80\xa6'$/,0 replies,0 retweets
@AdrianSaville,/^b'How to Read: Lots of Inputs and a Strong Filter http://www.collaborativefund.com/blog/how-to-read-lots-of-inputs-and-a-strong-filter/\xc2\xa0\xe2\x80\xa6 via @collabfund cc @89_Samantha @Kumeran1618 @yanga_nozibele @TlotlisoPhakisi @BenVolkwyn @Wynand_Steyn @jessbwhite'$/,0 replies,2 retweets
@AdrianSaville,/^b'Megatrends | A Future Embedded in the Present by Niels C. Jensen https://uploads-ssl.webflow.com/582f21bd539fedd346d8937a/5de661302857d097efe2c269_The%20Absolute%20Return%20Letter%201219.pdf?mc_cid=d17a25bd4c&mc_eid=cbab648785\xc2\xa0\xe2\x80\xa6pic.twitter.com/kS3gLJq4fy'$/,0 replies,1 retweet
@AdrianSaville,/^b'From Niels C. Jensen --- "To all those of you who think climate change is a storm in a teacup, I suggest you take a long look at the exhibit below. I will say no more!"pic.twitter.com/MzIkVkvGKc'$/,2 replies,2 retweets
@AdrianSaville,/^b'Climate change models have been kicking ass since the 1970s https://mashable.com/article/climate-models-accurate-since-1970s/\xc2\xa0\xe2\x80\xa6 via @mashable'$/,0 replies,0 retweets
@AdrianSaville,/^b'The future of SAA is now out of government\xe2\x80\x99s hands https://www.dailymaverick.co.za/article/2019-12-05-saas-fate-lies-in-hands-of-corporate-sa/?utm_medium=email&utm_campaign=Weekend%20Thing%207%20December%202019%20Checkers&utm_content=Weekend%20Thing%207%20December%202019%20Checkers+CID_ed87a093218a3f10834f1f8aa4f1533c&utm_source=TouchBasePro&utm_term=Sasha%20Planting\xc2\xa0\xe2\x80\xa6 by @sashaplanting via @dailymaverick'$/,3 replies,0 retweets
@AdrianSaville,/^b'Business Maverick: R4bn and business rescue to put wind beneath SAA\xe2\x80\x99s wingshttps://www.dailymaverick.co.za/article/2019-12-05-saa-in-emergency-landing/\xc2\xa0\xe2\x80\xa6'$/,0 replies,0 retweets
@AdrianSaville,/^b'If you want to be a millionaire, start with a billion dollars and launch a new airline.\n\n- Richard Branson via @dailymaverick'$/,1 reply,8 retweets
@AdrianSaville,/^b'\xe2\x80\x98Salvator Mundi\xe2\x80\x99 and the limits of certainty https://www.ft.com/content/e2863482-16a6-11ea-9ee4-11f260415385\xc2\xa0\xe2\x80\xa6 via @financialtimes'$/,0 replies,0 retweets
@CannonAssets,/^b"Why facts don\xe2\x80\x99t change our minds, what happens when antitrust and protectionism collide, and other stories we're reading this weekend https://us20.campaign-archive.com/?e=&u=31887888bb99dc56b7667cbc6&id=0d0e9a1420\xc2\xa0\xe2\x80\xa6pic.twitter.com/ICLdVhNAX6"$/,0 replies,3 retweets
@TashmiaI,/^b'Nice people make my day, more more more @AdrianSaville @phylliseb @DrAchiengOjwang @OnlyNomso @thando_hopahttps://twitter.com/nathan_kamtonga/status/1201775406082338816\xc2\xa0\xe2\x80\xa6'$/,1 reply,4 retweets
@TimHarford,/^b'New #CautionaryTalesPod - about the deadly airship race and the risks of competition.\nhttps://podcasts.apple.com/us/podcast/cautionary-tales/id1484511465\xc2\xa0\xe2\x80\xa6pic.twitter.com/8Gn0XQ8iWB'$/,10 replies,25 retweets
@UXetc,/^b'Have been listening to #CautionaryTalesPod for a couple of weeks now and every episode has been excellent. Succinct, gripping and chock full of educational nuggets. Highly recommended!https://twitter.com/TimHarford/status/1200411086677139457\xc2\xa0\xe2\x80\xa6'$/,0 replies,2 retweets
@Richards_Karin,/^b'Stage 2 loadshedding from 16:00 to 23:00 today. This is disastrous. 4% GDP growth is needed in this last quarter to achieve 0.5% for the year. Loadshedding will put paid to even that miserly number.https://twitter.com/Eskom_SA/status/1202581627223842818\xc2\xa0\xe2\x80\xa6'$/,3 replies,5 retweets
