date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2019-08-20 00:00:00,23,5,0.0,8.7,1,1,64,10:15 PM,09:35 AM,06:43 AM,05:55 PM,-9,13,16,13,38,0,28,0.0,1027,14,10,161,18
2019-08-20 03:00:00,23,5,0.0,8.7,1,1,64,10:15 PM,09:35 AM,06:43 AM,05:55 PM,-8,3,6,3,36,0,35,0.0,1028,6,10,157,17
2019-08-20 06:00:00,23,5,0.0,8.7,1,1,64,10:15 PM,09:35 AM,06:43 AM,05:55 PM,-9,3,6,3,35,0,33,0.0,1030,6,10,152,19
2019-08-20 09:00:00,23,5,0.0,8.7,1,1,64,10:15 PM,09:35 AM,06:43 AM,05:55 PM,-12,10,12,10,28,0,19,0.0,1030,12,10,149,19
2019-08-20 12:00:00,23,5,0.0,8.7,1,1,64,10:15 PM,09:35 AM,06:43 AM,05:55 PM,-14,20,20,20,17,0,9,0.0,1027,20,10,150,15
2019-08-20 15:00:00,23,5,0.0,8.7,1,1,64,10:15 PM,09:35 AM,06:43 AM,05:55 PM,-11,22,22,22,15,0,10,0.0,1024,22,10,161,13
2019-08-20 18:00:00,23,5,0.0,8.7,1,1,64,10:15 PM,09:35 AM,06:43 AM,05:55 PM,-8,21,22,21,22,0,16,0.0,1025,21,10,161,14
2019-08-20 21:00:00,23,5,0.0,8.7,1,1,64,10:15 PM,09:35 AM,06:43 AM,05:55 PM,-7,17,19,17,30,0,25,0.0,1027,17,10,159,14
2019-08-21 00:00:00,22,5,0.0,8.7,1,1,57,11:09 PM,10:06 AM,06:42 AM,05:55 PM,-8,12,14,12,27,0,30,0.0,1029,12,10,131,13
2019-08-21 03:00:00,22,5,0.0,8.7,1,1,57,11:09 PM,10:06 AM,06:42 AM,05:55 PM,-5,4,7,4,27,0,45,0.0,1030,7,10,80,13
2019-08-21 06:00:00,22,5,0.0,8.7,1,1,57,11:09 PM,10:06 AM,06:42 AM,05:55 PM,0,3,6,3,28,0,66,0.0,1031,6,10,52,15
2019-08-21 09:00:00,22,5,0.0,8.7,1,1,57,11:09 PM,10:06 AM,06:42 AM,05:55 PM,2,10,12,10,24,2,52,0.0,1032,12,10,27,19
2019-08-21 12:00:00,22,5,0.0,8.7,1,1,57,11:09 PM,10:06 AM,06:42 AM,05:55 PM,1,19,19,19,20,3,31,0.0,1029,19,10,110,17
2019-08-21 15:00:00,22,5,0.0,8.7,1,1,57,11:09 PM,10:06 AM,06:42 AM,05:55 PM,-3,22,22,22,14,0,19,0.0,1026,22,10,314,12
2019-08-21 18:00:00,22,5,0.0,8.7,1,1,57,11:09 PM,10:06 AM,06:42 AM,05:55 PM,-3,21,22,21,11,0,30,0.0,1026,21,10,271,8
2019-08-21 21:00:00,22,5,0.0,8.7,1,1,57,11:09 PM,10:06 AM,06:42 AM,05:55 PM,1,18,22,18,13,0,56,0.0,1026,18,10,185,6
2019-08-22 00:00:00,24,5,0.0,8.7,1,1,49,No moonrise,10:39 AM,06:41 AM,05:56 PM,0,13,16,13,12,0,59,0.0,1027,13,10,76,6
2019-08-22 03:00:00,24,5,0.0,8.7,1,1,49,No moonrise,10:39 AM,06:41 AM,05:56 PM,-1,5,6,5,11,0,63,0.0,1028,6,10,39,5
2019-08-22 06:00:00,24,5,0.0,8.7,1,1,49,No moonrise,10:39 AM,06:41 AM,05:56 PM,-1,6,7,6,13,0,57,0.0,1029,7,10,5,7
2019-08-22 09:00:00,24,5,0.0,8.7,1,1,49,No moonrise,10:39 AM,06:41 AM,05:56 PM,-2,14,15,14,13,0,33,0.0,1029,15,10,108,8
2019-08-22 12:00:00,24,5,0.0,8.7,1,1,49,No moonrise,10:39 AM,06:41 AM,05:56 PM,-5,21,21,21,12,2,18,0.0,1027,21,10,290,11
2019-08-22 15:00:00,24,5,0.0,8.7,1,1,49,No moonrise,10:39 AM,06:41 AM,05:56 PM,-10,23,23,23,16,3,10,0.0,1024,23,10,222,13
2019-08-22 18:00:00,24,5,0.0,8.7,1,1,49,No moonrise,10:39 AM,06:41 AM,05:56 PM,-7,21,22,21,12,0,24,0.0,1024,21,10,203,8
2019-08-22 21:00:00,24,5,0.0,8.7,1,1,49,No moonrise,10:39 AM,06:41 AM,05:56 PM,-1,17,20,17,10,0,50,0.0,1026,17,10,200,5
2019-08-23 00:00:00,25,5,0.0,8.7,1,1,42,12:04 AM,11:16 AM,06:40 AM,05:56 PM,-2,12,15,12,12,0,50,0.0,1026,12,10,191,6
2019-08-23 03:00:00,25,5,0.0,8.7,1,1,42,12:04 AM,11:16 AM,06:40 AM,05:56 PM,-3,5,6,5,10,1,53,0.0,1026,6,10,152,5
2019-08-23 06:00:00,25,5,0.0,8.7,1,1,42,12:04 AM,11:16 AM,06:40 AM,05:56 PM,-5,8,8,8,6,2,43,0.0,1028,8,10,152,3
2019-08-23 09:00:00,25,5,0.0,8.7,1,1,42,12:04 AM,11:16 AM,06:40 AM,05:56 PM,-8,18,18,18,3,0,17,0.0,1029,18,10,197,2
2019-08-23 12:00:00,25,5,0.0,8.7,1,1,42,12:04 AM,11:16 AM,06:40 AM,05:56 PM,-11,23,23,24,3,0,9,0.0,1027,24,10,212,3
2019-08-23 15:00:00,25,5,0.0,8.7,1,1,42,12:04 AM,11:16 AM,06:40 AM,05:56 PM,-11,23,23,24,6,0,9,0.0,1024,24,10,207,5
2019-08-23 18:00:00,25,5,0.0,8.7,1,1,42,12:04 AM,11:16 AM,06:40 AM,05:56 PM,-6,22,23,22,10,0,23,0.0,1024,22,10,214,6
2019-08-23 21:00:00,25,5,0.0,8.7,1,1,42,12:04 AM,11:16 AM,06:40 AM,05:56 PM,-1,19,22,19,12,0,49,0.0,1026,19,10,199,6
2019-08-24 00:00:00,25,6,0.0,8.7,1,1,35,01:02 AM,11:58 AM,06:39 AM,05:57 PM,-1,14,16,14,10,0,54,0.0,1026,14,10,173,5
2019-08-24 03:00:00,25,6,0.0,8.7,1,1,35,01:02 AM,11:58 AM,06:39 AM,05:57 PM,-2,6,7,6,9,0,56,0.0,1026,7,10,113,4
2019-08-24 06:00:00,25,6,0.0,8.7,1,1,35,01:02 AM,11:58 AM,06:39 AM,05:57 PM,-5,7,8,7,14,0,43,0.0,1028,8,10,85,7
2019-08-24 09:00:00,25,6,0.0,8.7,1,1,35,01:02 AM,11:58 AM,06:39 AM,05:57 PM,-10,15,15,15,20,0,17,0.0,1028,15,10,30,12
2019-08-24 12:00:00,25,6,0.0,8.7,1,1,35,01:02 AM,11:58 AM,06:39 AM,05:57 PM,-10,23,23,23,14,0,11,0.0,1026,23,10,109,12
2019-08-24 15:00:00,25,6,0.0,8.7,1,1,35,01:02 AM,11:58 AM,06:39 AM,05:57 PM,-11,23,23,24,17,0,9,0.0,1022,24,10,301,14
2019-08-24 18:00:00,25,6,0.0,8.7,1,1,35,01:02 AM,11:58 AM,06:39 AM,05:57 PM,-8,23,23,23,16,0,22,0.0,1022,23,10,288,11
2019-08-24 21:00:00,25,6,0.0,8.7,1,1,35,01:02 AM,11:58 AM,06:39 AM,05:57 PM,0,19,23,19,8,0,50,0.0,1023,19,10,201,4
2019-08-25 00:00:00,25,5,0.0,8.7,1,1,28,02:01 AM,12:45 PM,06:38 AM,05:57 PM,-4,14,17,14,14,0,42,0.0,1023,14,10,107,6
2019-08-25 03:00:00,25,5,0.0,8.7,1,1,28,02:01 AM,12:45 PM,06:38 AM,05:57 PM,-10,6,8,6,22,0,27,0.0,1023,8,10,328,11
2019-08-25 06:00:00,25,5,0.0,8.7,1,1,28,02:01 AM,12:45 PM,06:38 AM,05:57 PM,-9,6,8,6,18,0,30,0.0,1024,8,10,239,9
2019-08-25 09:00:00,25,5,0.0,8.7,1,1,28,02:01 AM,12:45 PM,06:38 AM,05:57 PM,-11,15,15,15,15,0,16,0.0,1024,15,10,114,10
2019-08-25 12:00:00,25,5,0.0,8.7,1,1,28,02:01 AM,12:45 PM,06:38 AM,05:57 PM,-11,23,23,23,16,0,10,0.0,1021,23,10,298,14
2019-08-25 15:00:00,25,5,0.0,8.7,1,1,28,02:01 AM,12:45 PM,06:38 AM,05:57 PM,-10,24,24,25,19,0,9,0.0,1018,25,10,275,16
2019-08-25 18:00:00,25,5,0.0,8.7,1,1,28,02:01 AM,12:45 PM,06:38 AM,05:57 PM,-6,23,23,23,13,0,24,0.0,1018,23,10,283,10
2019-08-25 21:00:00,25,5,0.0,8.7,1,1,28,02:01 AM,12:45 PM,06:38 AM,05:57 PM,1,19,23,19,5,0,53,0.0,1020,19,10,295,2
2019-08-26 00:00:00,26,4,0.0,8.7,1,1,20,03:02 AM,01:40 PM,06:37 AM,05:58 PM,-1,14,17,14,11,0,52,0.0,1020,14,10,274,5
2019-08-26 03:00:00,26,4,0.0,8.7,1,1,20,03:02 AM,01:40 PM,06:37 AM,05:58 PM,-2,6,6,6,10,0,54,0.0,1021,6,10,305,5
2019-08-26 06:00:00,26,4,0.0,8.7,1,1,20,03:02 AM,01:40 PM,06:37 AM,05:58 PM,-6,7,8,7,11,0,43,0.0,1022,8,10,244,6
2019-08-26 09:00:00,26,4,0.0,8.7,1,1,20,03:02 AM,01:40 PM,06:37 AM,05:58 PM,-11,17,17,17,15,0,14,0.0,1022,17,10,134,10
2019-08-26 12:00:00,26,4,0.0,8.7,1,1,20,03:02 AM,01:40 PM,06:37 AM,05:58 PM,-10,23,23,24,20,0,10,0.0,1019,24,10,312,17
2019-08-26 15:00:00,26,4,0.0,8.7,1,1,20,03:02 AM,01:40 PM,06:37 AM,05:58 PM,-10,24,24,26,24,0,9,0.0,1017,26,10,291,20
2019-08-26 18:00:00,26,4,0.0,8.7,1,1,20,03:02 AM,01:40 PM,06:37 AM,05:58 PM,-7,24,24,24,21,0,19,0.0,1017,24,10,306,14
2019-08-26 21:00:00,26,4,0.0,8.7,1,1,20,03:02 AM,01:40 PM,06:37 AM,05:58 PM,-2,21,24,21,17,0,41,0.0,1018,21,10,322,8
2019-08-27 00:00:00,26,5,0.0,8.7,1,1,13,04:02 AM,02:41 PM,06:36 AM,05:58 PM,-2,15,18,15,14,0,46,0.0,1019,15,10,287,7
2019-08-27 03:00:00,26,5,0.0,8.7,1,1,13,04:02 AM,02:41 PM,06:36 AM,05:58 PM,-2,5,6,5,10,0,55,0.0,1019,6,10,300,5
2019-08-27 06:00:00,26,5,0.0,8.7,1,1,13,04:02 AM,02:41 PM,06:36 AM,05:58 PM,-6,7,8,7,11,0,43,0.0,1021,8,10,229,6
2019-08-27 09:00:00,26,5,0.0,8.7,1,1,13,04:02 AM,02:41 PM,06:36 AM,05:58 PM,-10,17,17,17,17,0,15,0.0,1021,17,10,113,12
2019-08-27 12:00:00,26,5,0.0,8.7,1,1,13,04:02 AM,02:41 PM,06:36 AM,05:58 PM,-10,23,23,24,24,0,9,0.0,1017,24,10,304,21
2019-08-27 15:00:00,26,5,0.0,8.7,1,1,13,04:02 AM,02:41 PM,06:36 AM,05:58 PM,-11,24,24,25,27,0,8,0.0,1015,25,10,282,22
2019-08-27 18:00:00,26,5,0.0,8.7,1,1,13,04:02 AM,02:41 PM,06:36 AM,05:58 PM,-9,23,23,23,21,0,16,0.0,1015,23,10,254,14
2019-08-27 21:00:00,26,5,0.0,8.7,1,1,13,04:02 AM,02:41 PM,06:36 AM,05:58 PM,-6,20,23,20,21,0,31,0.0,1016,20,10,209,10
2019-08-28 00:00:00,23,3,0.0,8.7,1,1,6,04:59 AM,03:48 PM,06:35 AM,05:59 PM,-7,14,16,14,18,0,37,0.0,1018,14,10,203,9
