date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-02 00:00:00,9,3,0.0,7.0,1,1,29,02:21 AM,02:36 PM,07:23 AM,04:51 PM,3,3,4,3,11,4,91,0.1,1020,4,10,29,5
2018-12-02 03:00:00,9,3,0.0,7.0,1,1,29,02:21 AM,02:36 PM,07:23 AM,04:51 PM,3,2,4,2,12,4,92,0.0,1020,4,10,87,6
2018-12-02 06:00:00,9,3,0.0,7.0,1,1,29,02:21 AM,02:36 PM,07:23 AM,04:51 PM,2,2,3,2,10,3,93,0.0,1021,3,10,81,5
2018-12-02 09:00:00,9,3,0.0,7.0,1,1,29,02:21 AM,02:36 PM,07:23 AM,04:51 PM,4,6,7,6,6,19,83,0.0,1021,7,10,80,5
2018-12-02 12:00:00,9,3,0.0,7.0,1,1,29,02:21 AM,02:36 PM,07:23 AM,04:51 PM,2,8,9,8,9,32,60,0.0,1021,9,10,346,8
2018-12-02 15:00:00,9,3,0.0,7.0,1,1,29,02:21 AM,02:36 PM,07:23 AM,04:51 PM,2,6,7,6,9,85,71,0.0,1021,7,10,3,5
2018-12-02 18:00:00,9,3,0.0,7.0,1,1,29,02:21 AM,02:36 PM,07:23 AM,04:51 PM,1,2,4,2,14,95,82,0.0,1023,4,10,76,7
2018-12-02 21:00:00,9,3,0.0,7.0,1,1,29,02:21 AM,02:36 PM,07:23 AM,04:51 PM,-1,1,4,1,20,100,73,0.0,1023,4,10,83,9
2018-12-03 00:00:00,12,3,0.0,8.7,1,1,22,03:28 AM,03:06 PM,07:24 AM,04:51 PM,-3,2,4,2,16,3,63,0.0,1023,4,10,105,8
2018-12-03 03:00:00,12,3,0.0,8.7,1,1,22,03:28 AM,03:06 PM,07:24 AM,04:51 PM,-2,0,3,0,22,30,68,0.0,1023,3,10,107,10
2018-12-03 06:00:00,12,3,0.0,8.7,1,1,22,03:28 AM,03:06 PM,07:24 AM,04:51 PM,-2,1,3,1,19,22,68,0.0,1023,3,10,110,9
2018-12-03 09:00:00,12,3,0.0,8.7,1,1,22,03:28 AM,03:06 PM,07:24 AM,04:51 PM,0,7,9,7,17,9,54,0.0,1022,9,10,102,13
2018-12-03 12:00:00,12,3,0.0,8.7,1,1,22,03:28 AM,03:06 PM,07:24 AM,04:51 PM,-0,12,12,12,8,26,42,0.0,1020,12,10,131,6
2018-12-03 15:00:00,12,3,0.0,8.7,1,1,22,03:28 AM,03:06 PM,07:24 AM,04:51 PM,1,9,10,9,14,48,55,0.0,1020,10,10,103,8
2018-12-03 18:00:00,12,3,0.0,8.7,1,1,22,03:28 AM,03:06 PM,07:24 AM,04:51 PM,-1,6,7,6,18,62,55,0.0,1018,7,10,109,9
2018-12-03 21:00:00,12,3,0.0,8.7,1,1,22,03:28 AM,03:06 PM,07:24 AM,04:51 PM,-2,4,7,4,22,86,55,0.0,1019,6,10,91,11
2018-12-04 00:00:00,10,6,0.0,3.5,1,1,15,04:32 AM,03:38 PM,07:25 AM,04:51 PM,-1,4,6,4,20,70,62,0.2,1018,6,5,96,10
2018-12-04 03:00:00,10,6,0.0,3.5,1,1,15,04:32 AM,03:38 PM,07:25 AM,04:51 PM,-2,5,8,5,29,78,49,0.0,1017,8,10,94,14
2018-12-04 06:00:00,10,6,0.0,3.5,1,1,15,04:32 AM,03:38 PM,07:25 AM,04:51 PM,-1,5,8,5,22,50,53,0.0,1016,7,10,87,12
2018-12-04 09:00:00,10,6,0.0,3.5,1,1,15,04:32 AM,03:38 PM,07:25 AM,04:51 PM,0,8,10,8,22,100,51,0.0,1016,10,10,99,14
2018-12-04 12:00:00,10,6,0.0,3.5,1,1,15,04:32 AM,03:38 PM,07:25 AM,04:51 PM,5,7,8,7,14,100,80,1.0,1015,8,9,80,8
2018-12-04 15:00:00,10,6,0.0,3.5,1,1,15,04:32 AM,03:38 PM,07:25 AM,04:51 PM,5,7,8,7,16,100,80,0.0,1014,8,10,111,8
2018-12-04 18:00:00,10,6,0.0,3.5,1,1,15,04:32 AM,03:38 PM,07:25 AM,04:51 PM,5,6,7,6,14,77,84,0.4,1014,7,2,74,6
2018-12-04 21:00:00,10,6,0.0,3.5,1,1,15,04:32 AM,03:38 PM,07:25 AM,04:51 PM,4,6,8,6,21,100,77,0.0,1015,7,10,86,10
2018-12-05 00:00:00,13,6,0.0,8.7,1,1,7,05:37 AM,04:12 PM,07:26 AM,04:51 PM,3,6,7,6,15,100,76,0.0,1015,7,10,85,7
2018-12-05 03:00:00,13,6,0.0,8.7,1,1,7,05:37 AM,04:12 PM,07:26 AM,04:51 PM,4,6,7,6,13,95,84,0.0,1014,7,10,70,6
2018-12-05 06:00:00,13,6,0.0,8.7,1,1,7,05:37 AM,04:12 PM,07:26 AM,04:51 PM,4,5,7,5,16,64,84,0.1,1014,7,10,67,8
