date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-12-11 00:00:00,20,18,0.0,8.8,1,1,30,12:56 AM,02:14 PM,04:48 AM,06:50 PM,17,18,18,18,14,59,94,0.0,1016,18,2,203,9
2009-12-11 03:00:00,20,18,0.0,8.8,1,1,30,12:56 AM,02:14 PM,04:48 AM,06:50 PM,17,18,18,18,15,80,95,0.4,1016,18,2,209,10
2009-12-11 06:00:00,20,18,0.0,8.8,1,1,30,12:56 AM,02:14 PM,04:48 AM,06:50 PM,18,19,19,19,13,100,93,0.0,1017,19,10,199,9
2009-12-11 09:00:00,20,18,0.0,8.8,1,1,30,12:56 AM,02:14 PM,04:48 AM,06:50 PM,18,20,20,20,11,88,90,0.1,1018,20,10,166,8
2009-12-11 12:00:00,20,18,0.0,8.8,1,1,30,12:56 AM,02:14 PM,04:48 AM,06:50 PM,18,20,20,20,4,100,89,0.0,1017,20,10,80,3
2009-12-11 15:00:00,20,18,0.0,8.8,1,1,30,12:56 AM,02:14 PM,04:48 AM,06:50 PM,18,20,20,20,10,98,90,0.2,1016,20,2,123,7
2009-12-11 18:00:00,20,18,0.0,8.8,1,1,30,12:56 AM,02:14 PM,04:48 AM,06:50 PM,18,19,19,19,10,100,95,0.0,1017,19,2,138,6
2009-12-11 21:00:00,20,18,0.0,8.8,1,1,30,12:56 AM,02:14 PM,04:48 AM,06:50 PM,18,19,19,19,7,100,95,0.4,1018,19,2,112,4
2009-12-12 00:00:00,18,17,0.0,8.8,1,1,23,01:31 AM,03:15 PM,04:49 AM,06:51 PM,18,18,18,18,10,100,95,0.0,1017,18,2,187,7
2009-12-12 03:00:00,18,17,0.0,8.8,1,1,23,01:31 AM,03:15 PM,04:49 AM,06:51 PM,17,18,18,18,10,100,95,0.6,1017,18,2,154,7
2009-12-12 06:00:00,18,17,0.0,8.8,1,1,23,01:31 AM,03:15 PM,04:49 AM,06:51 PM,17,18,18,18,12,100,94,0.0,1017,18,2,135,8
2009-12-12 09:00:00,18,17,0.0,8.8,1,1,23,01:31 AM,03:15 PM,04:49 AM,06:51 PM,17,18,18,18,11,96,92,0.6,1016,18,2,130,8
2009-12-12 12:00:00,18,17,0.0,8.8,1,1,23,01:31 AM,03:15 PM,04:49 AM,06:51 PM,16,19,19,19,7,89,88,0.0,1015,18,10,125,5
2009-12-12 15:00:00,18,17,0.0,8.8,1,1,23,01:31 AM,03:15 PM,04:49 AM,06:51 PM,16,18,18,18,10,81,85,0.1,1015,18,10,126,7
2009-12-12 18:00:00,18,17,0.0,8.8,1,1,23,01:31 AM,03:15 PM,04:49 AM,06:51 PM,16,18,18,18,6,63,88,0.0,1016,17,10,92,4
2009-12-12 21:00:00,18,17,0.0,8.8,1,1,23,01:31 AM,03:15 PM,04:49 AM,06:51 PM,15,18,18,18,6,47,88,0.0,1017,17,10,19,4
2009-12-13 00:00:00,21,17,0.0,9.9,1,1,15,02:08 AM,04:16 PM,04:49 AM,06:51 PM,16,17,17,17,21,44,91,0.0,1015,17,10,14,12
2009-12-13 03:00:00,21,17,0.0,9.9,1,1,15,02:08 AM,04:16 PM,04:49 AM,06:51 PM,16,17,17,17,15,37,94,0.0,1014,17,2,35,8
2009-12-13 06:00:00,21,17,0.0,9.9,1,1,15,02:08 AM,04:16 PM,04:49 AM,06:51 PM,18,22,24,22,8,76,83,0.0,1015,21,10,119,7
2009-12-13 09:00:00,21,17,0.0,9.9,1,1,15,02:08 AM,04:16 PM,04:49 AM,06:51 PM,18,20,20,20,17,78,88,0.1,1016,20,10,153,13
2009-12-13 12:00:00,21,17,0.0,9.9,1,1,15,02:08 AM,04:16 PM,04:49 AM,06:51 PM,18,20,20,20,25,100,88,0.0,1018,20,10,172,17
2009-12-13 15:00:00,21,17,0.0,9.9,1,1,15,02:08 AM,04:16 PM,04:49 AM,06:51 PM,16,19,19,19,42,57,86,0.8,1020,19,9,197,27
2009-12-13 18:00:00,21,17,0.0,9.9,1,1,15,02:08 AM,04:16 PM,04:49 AM,06:51 PM,15,18,18,18,38,73,83,0.0,1023,18,10,206,24
2009-12-13 21:00:00,21,17,0.0,9.9,1,1,15,02:08 AM,04:16 PM,04:49 AM,06:51 PM,16,17,17,17,37,93,92,1.1,1025,17,10,187,24
2009-12-14 00:00:00,19,16,0.0,8.8,1,1,8,02:50 AM,05:16 PM,04:49 AM,06:52 PM,15,17,17,17,45,97,90,0.0,1024,17,10,198,28
2009-12-14 03:00:00,19,16,0.0,8.8,1,1,8,02:50 AM,05:16 PM,04:49 AM,06:52 PM,14,16,16,16,27,99,86,0.4,1025,16,2,186,18
2009-12-14 06:00:00,19,16,0.0,8.8,1,1,8,02:50 AM,05:16 PM,04:49 AM,06:52 PM,13,16,16,16,19,89,81,0.0,1026,16,10,173,14
2009-12-14 09:00:00,19,16,0.0,8.8,1,1,8,02:50 AM,05:16 PM,04:49 AM,06:52 PM,12,17,17,17,12,62,75,0.1,1025,17,10,167,10
2009-12-14 12:00:00,19,16,0.0,8.8,1,1,8,02:50 AM,05:16 PM,04:49 AM,06:52 PM,12,19,19,19,16,65,64,0.0,1023,19,10,118,14
2009-12-14 15:00:00,19,16,0.0,8.8,1,1,8,02:50 AM,05:16 PM,04:49 AM,06:52 PM,13,17,17,17,16,93,76,0.0,1022,17,10,90,12
2009-12-14 18:00:00,19,16,0.0,8.8,1,1,8,02:50 AM,05:16 PM,04:49 AM,06:52 PM,13,16,16,16,24,95,80,0.0,1022,16,10,65,16
2009-12-14 21:00:00,19,16,0.0,8.8,1,1,8,02:50 AM,05:16 PM,04:49 AM,06:52 PM,13,16,16,16,24,100,81,0.1,1021,16,10,42,17
2009-12-15 00:00:00,28,16,0.0,14.0,1,1,1,03:37 AM,06:12 PM,04:49 AM,06:53 PM,13,16,16,16,35,37,82,0.0,1018,16,10,25,24
2009-12-15 03:00:00,28,16,0.0,14.0,1,1,1,03:37 AM,06:12 PM,04:49 AM,06:53 PM,14,16,16,16,32,42,85,0.0,1016,16,10,28,21
2009-12-15 06:00:00,28,16,0.0,14.0,1,1,1,03:37 AM,06:12 PM,04:49 AM,06:53 PM,16,20,20,20,25,27,77,0.0,1014,20,10,23,22
2009-12-15 09:00:00,28,16,0.0,14.0,1,1,1,03:37 AM,06:12 PM,04:49 AM,06:53 PM,19,27,27,26,26,6,66,0.0,1010,26,10,43,22
2009-12-15 12:00:00,28,16,0.0,14.0,1,1,1,03:37 AM,06:12 PM,04:49 AM,06:53 PM,20,30,30,28,37,4,62,0.0,1006,28,10,40,30
2009-12-15 15:00:00,28,16,0.0,14.0,1,1,1,03:37 AM,06:12 PM,04:49 AM,06:53 PM,21,29,29,27,44,5,72,0.0,1003,27,10,54,28
2009-12-15 18:00:00,28,16,0.0,14.0,1,1,1,03:37 AM,06:12 PM,04:49 AM,06:53 PM,19,22,24,22,32,7,87,0.0,1003,22,10,74,15
2009-12-15 21:00:00,28,16,0.0,14.0,1,1,1,03:37 AM,06:12 PM,04:49 AM,06:53 PM,19,22,24,22,18,12,83,0.0,1005,22,10,208,9
2009-12-16 00:00:00,23,16,0.0,14.0,1,1,0,04:27 AM,07:05 PM,04:50 AM,06:53 PM,19,21,21,21,35,35,87,0.0,1007,21,10,201,21
2009-12-16 03:00:00,23,16,0.0,14.0,1,1,0,04:27 AM,07:05 PM,04:50 AM,06:53 PM,16,20,20,20,45,0,77,0.0,1010,20,10,211,27
2009-12-16 06:00:00,23,16,0.0,14.0,1,1,0,04:27 AM,07:05 PM,04:50 AM,06:53 PM,16,20,20,20,39,54,79,0.0,1013,20,10,206,28
2009-12-16 09:00:00,23,16,0.0,14.0,1,1,0,04:27 AM,07:05 PM,04:50 AM,06:53 PM,16,20,20,20,32,35,75,0.0,1013,20,10,203,25
2009-12-16 12:00:00,23,16,0.0,14.0,1,1,0,04:27 AM,07:05 PM,04:50 AM,06:53 PM,16,25,25,23,31,13,65,0.0,1013,23,10,172,27
2009-12-16 15:00:00,23,16,0.0,14.0,1,1,0,04:27 AM,07:05 PM,04:50 AM,06:53 PM,16,21,21,21,21,10,75,0.0,1013,21,10,175,16
2009-12-16 18:00:00,23,16,0.0,14.0,1,1,0,04:27 AM,07:05 PM,04:50 AM,06:53 PM,15,18,18,18,20,5,86,0.0,1014,18,10,197,11
2009-12-16 21:00:00,23,16,0.0,14.0,1,1,0,04:27 AM,07:05 PM,04:50 AM,06:53 PM,15,17,17,17,17,9,90,0.0,1015,16,10,215,9
2009-12-17 00:00:00,27,16,0.0,14.0,1,1,0,05:22 AM,07:52 PM,04:50 AM,06:54 PM,15,16,16,16,17,7,92,0.0,1012,16,10,236,9
2009-12-17 03:00:00,27,16,0.0,14.0,1,1,0,05:22 AM,07:52 PM,04:50 AM,06:54 PM,16,17,17,17,10,3,91,0.0,1011,16,10,280,5
2009-12-17 06:00:00,27,16,0.0,14.0,1,1,0,05:22 AM,07:52 PM,04:50 AM,06:54 PM,20,27,27,25,3,1,71,0.0,1011,23,10,58,3
2009-12-17 09:00:00,27,16,0.0,14.0,1,1,0,05:22 AM,07:52 PM,04:50 AM,06:54 PM,18,27,27,26,15,0,64,0.0,1008,26,10,70,13
2009-12-17 12:00:00,27,16,0.0,14.0,1,1,0,05:22 AM,07:52 PM,04:50 AM,06:54 PM,20,30,30,28,9,0,64,0.0,1006,27,10,116,8
2009-12-17 15:00:00,27,16,0.0,14.0,1,1,0,05:22 AM,07:52 PM,04:50 AM,06:54 PM,20,27,27,25,18,0,76,0.0,1005,25,10,70,14
2009-12-17 18:00:00,27,16,0.0,14.0,1,1,0,05:22 AM,07:52 PM,04:50 AM,06:54 PM,18,19,19,19,6,7,95,0.0,1008,18,2,53,3
2009-12-17 21:00:00,27,16,0.0,14.0,1,1,0,05:22 AM,07:52 PM,04:50 AM,06:54 PM,19,21,21,21,20,23,94,0.0,1011,21,10,192,11
2009-12-18 00:00:00,21,19,0.0,11.1,1,1,6,06:17 AM,08:33 PM,04:51 AM,06:55 PM,20,21,21,21,8,12,93,0.0,1011,20,10,5,5
2009-12-18 03:00:00,21,19,0.0,11.1,1,1,6,06:17 AM,08:33 PM,04:51 AM,06:55 PM,18,20,20,20,21,28,93,0.0,1012,20,10,203,12
2009-12-18 06:00:00,21,19,0.0,11.1,1,1,6,06:17 AM,08:33 PM,04:51 AM,06:55 PM,18,21,21,21,20,59,86,0.0,1014,21,10,173,15
2009-12-18 09:00:00,21,19,0.0,11.1,1,1,6,06:17 AM,08:33 PM,04:51 AM,06:55 PM,18,20,20,20,22,57,86,0.3,1013,20,5,171,16
2009-12-18 12:00:00,21,19,0.0,11.1,1,1,6,06:17 AM,08:33 PM,04:51 AM,06:55 PM,18,20,20,20,22,82,88,0.0,1012,20,10,170,15
2009-12-18 15:00:00,21,19,0.0,11.1,1,1,6,06:17 AM,08:33 PM,04:51 AM,06:55 PM,18,19,19,19,20,97,92,0.9,1012,19,9,179,13
2009-12-18 18:00:00,21,19,0.0,11.1,1,1,6,06:17 AM,08:33 PM,04:51 AM,06:55 PM,18,19,19,19,11,100,95,0.0,1014,19,2,180,7
2009-12-18 21:00:00,21,19,0.0,11.1,1,1,6,06:17 AM,08:33 PM,04:51 AM,06:55 PM,18,19,19,19,12,100,95,0.9,1015,19,9,198,8
2009-12-19 00:00:00,21,19,0.0,8.8,1,1,13,07:13 AM,09:09 PM,04:51 AM,06:55 PM,19,19,19,19,4,100,97,0.0,1015,19,0,99,3
