date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-12-11 00:00:00,26,16,0.0,13.5,1,1,30,01:11 AM,02:22 PM,05:09 AM,06:54 PM,17,18,18,18,6,17,93,0.0,1013,17,10,332,4
2009-12-11 03:00:00,26,16,0.0,13.5,1,1,30,01:11 AM,02:22 PM,05:09 AM,06:54 PM,16,17,17,17,10,19,95,0.2,1013,16,9,24,5
2009-12-11 06:00:00,26,16,0.0,13.5,1,1,30,01:11 AM,02:22 PM,05:09 AM,06:54 PM,16,21,21,21,13,17,75,0.0,1014,20,10,6,12
2009-12-11 09:00:00,26,16,0.0,13.5,1,1,30,01:11 AM,02:22 PM,05:09 AM,06:54 PM,17,26,26,25,15,14,60,1.1,1012,24,9,341,12
2009-12-11 12:00:00,26,16,0.0,13.5,1,1,30,01:11 AM,02:22 PM,05:09 AM,06:54 PM,14,27,27,27,13,22,46,0.0,1010,26,10,329,11
2009-12-11 15:00:00,26,16,0.0,13.5,1,1,30,01:11 AM,02:22 PM,05:09 AM,06:54 PM,15,26,26,24,11,21,56,0.3,1009,24,9,327,8
2009-12-11 18:00:00,26,16,0.0,13.5,1,1,30,01:11 AM,02:22 PM,05:09 AM,06:54 PM,15,19,19,19,15,16,78,0.0,1012,19,10,28,9
2009-12-11 21:00:00,26,16,0.0,13.5,1,1,30,01:11 AM,02:22 PM,05:09 AM,06:54 PM,16,17,17,17,21,52,94,1.2,1014,17,10,23,14
2009-12-12 00:00:00,27,16,0.0,13.3,1,1,23,01:48 AM,03:21 PM,05:09 AM,06:54 PM,16,16,16,16,19,99,98,0.0,1015,16,10,62,13
2009-12-12 03:00:00,27,16,0.0,13.3,1,1,23,01:48 AM,03:21 PM,05:09 AM,06:54 PM,15,16,16,16,18,90,96,0.3,1015,16,2,31,13
2009-12-12 06:00:00,27,16,0.0,13.3,1,1,23,01:48 AM,03:21 PM,05:09 AM,06:54 PM,16,17,17,17,11,78,92,0.0,1017,17,10,30,9
2009-12-12 09:00:00,27,16,0.0,13.3,1,1,23,01:48 AM,03:21 PM,05:09 AM,06:54 PM,16,22,24,22,14,39,73,0.0,1014,21,10,337,12
2009-12-12 12:00:00,27,16,0.0,13.3,1,1,23,01:48 AM,03:21 PM,05:09 AM,06:54 PM,16,28,28,27,7,43,49,0.0,1012,27,10,338,6
2009-12-12 15:00:00,27,16,0.0,13.3,1,1,23,01:48 AM,03:21 PM,05:09 AM,06:54 PM,15,26,26,26,13,22,51,0.0,1010,25,10,296,11
2009-12-12 18:00:00,27,16,0.0,13.3,1,1,23,01:48 AM,03:21 PM,05:09 AM,06:54 PM,15,20,20,20,11,9,72,0.0,1013,19,10,0,6
2009-12-12 21:00:00,27,16,0.0,13.3,1,1,23,01:48 AM,03:21 PM,05:09 AM,06:54 PM,15,18,18,18,19,8,80,0.0,1015,18,10,318,10
2009-12-13 00:00:00,27,15,0.0,13.5,1,1,15,02:27 AM,04:20 PM,05:09 AM,06:55 PM,16,17,17,17,12,17,94,0.0,1014,16,10,359,7
2009-12-13 03:00:00,27,15,0.0,13.5,1,1,15,02:27 AM,04:20 PM,05:09 AM,06:55 PM,15,16,16,16,14,100,98,0.0,1014,15,0,349,8
2009-12-13 06:00:00,27,15,0.0,13.5,1,1,15,02:27 AM,04:20 PM,05:09 AM,06:55 PM,16,21,21,21,12,16,73,0.0,1015,20,10,310,10
2009-12-13 09:00:00,27,15,0.0,13.5,1,1,15,02:27 AM,04:20 PM,05:09 AM,06:55 PM,16,27,27,26,12,20,54,0.6,1013,26,10,297,10
2009-12-13 12:00:00,27,15,0.0,13.5,1,1,15,02:27 AM,04:20 PM,05:09 AM,06:55 PM,16,29,29,28,10,13,48,0.0,1011,27,10,339,9
2009-12-13 15:00:00,27,15,0.0,13.5,1,1,15,02:27 AM,04:20 PM,05:09 AM,06:55 PM,17,28,28,27,11,9,52,0.0,1010,26,10,296,9
2009-12-13 18:00:00,27,15,0.0,13.5,1,1,15,02:27 AM,04:20 PM,05:09 AM,06:55 PM,15,22,25,22,15,5,64,0.0,1014,21,10,87,10
2009-12-13 21:00:00,27,15,0.0,13.5,1,1,15,02:27 AM,04:20 PM,05:09 AM,06:55 PM,15,17,17,17,32,87,89,1.1,1018,17,10,87,21
2009-12-14 00:00:00,19,13,0.0,12.1,1,1,8,03:11 AM,05:19 PM,05:09 AM,06:55 PM,13,15,15,15,22,63,86,0.0,1019,15,10,91,14
