date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2009-12-11 00:00:00,28,17,0.0,13.4,1,1,30,01:11 AM,02:21 PM,05:09 AM,06:52 PM,18,19,19,19,6,10,93,0.0,1013,18,10,14,4
2009-12-11 03:00:00,28,17,0.0,13.4,1,1,30,01:11 AM,02:21 PM,05:09 AM,06:52 PM,17,17,17,17,10,32,97,0.2,1012,17,9,48,5
2009-12-11 06:00:00,28,17,0.0,13.4,1,1,30,01:11 AM,02:21 PM,05:09 AM,06:52 PM,16,22,24,22,12,12,73,0.0,1014,21,10,19,11
2009-12-11 09:00:00,28,17,0.0,13.4,1,1,30,01:11 AM,02:21 PM,05:09 AM,06:52 PM,17,27,27,26,13,12,55,0.6,1012,26,10,354,11
2009-12-11 12:00:00,28,17,0.0,13.4,1,1,30,01:11 AM,02:21 PM,05:09 AM,06:52 PM,15,28,28,28,12,23,43,0.0,1011,28,10,338,10
2009-12-11 15:00:00,28,17,0.0,13.4,1,1,30,01:11 AM,02:21 PM,05:09 AM,06:52 PM,15,27,27,26,8,25,50,0.4,1009,26,9,343,7
2009-12-11 18:00:00,28,17,0.0,13.4,1,1,30,01:11 AM,02:21 PM,05:09 AM,06:52 PM,16,20,20,20,18,23,79,0.0,1012,19,10,40,11
2009-12-11 21:00:00,28,17,0.0,13.4,1,1,30,01:11 AM,02:21 PM,05:09 AM,06:52 PM,17,18,18,18,19,39,93,1.4,1015,18,10,34,12
2009-12-12 00:00:00,29,16,0.0,13.3,1,1,23,01:48 AM,03:20 PM,05:09 AM,06:53 PM,16,17,17,17,21,80,97,0.0,1015,17,10,70,14
2009-12-12 03:00:00,29,16,0.0,13.3,1,1,23,01:48 AM,03:20 PM,05:09 AM,06:53 PM,16,16,16,16,16,83,95,0.4,1016,16,2,44,11
2009-12-12 06:00:00,29,16,0.0,13.3,1,1,23,01:48 AM,03:20 PM,05:09 AM,06:53 PM,16,18,18,18,9,76,91,0.0,1017,18,10,52,8
2009-12-12 09:00:00,29,16,0.0,13.3,1,1,23,01:48 AM,03:20 PM,05:09 AM,06:53 PM,17,25,25,24,11,32,66,0.0,1014,23,10,340,10
2009-12-12 12:00:00,29,16,0.0,13.3,1,1,23,01:48 AM,03:20 PM,05:09 AM,06:53 PM,17,30,30,29,5,29,46,0.0,1013,29,10,345,4
2009-12-12 15:00:00,29,16,0.0,13.3,1,1,23,01:48 AM,03:20 PM,05:09 AM,06:53 PM,15,27,27,27,11,21,49,0.0,1011,26,10,295,10
2009-12-12 18:00:00,29,16,0.0,13.3,1,1,23,01:48 AM,03:20 PM,05:09 AM,06:53 PM,15,21,24,21,10,9,70,0.0,1013,20,10,358,5
2009-12-12 21:00:00,29,16,0.0,13.3,1,1,23,01:48 AM,03:20 PM,05:09 AM,06:53 PM,16,19,19,19,14,9,81,0.0,1015,18,10,317,8
2009-12-13 00:00:00,30,16,0.0,13.4,1,1,15,02:28 AM,04:19 PM,05:10 AM,06:53 PM,17,18,18,18,9,14,95,0.0,1014,17,2,21,5
2009-12-13 03:00:00,30,16,0.0,13.4,1,1,15,02:28 AM,04:19 PM,05:10 AM,06:53 PM,16,16,16,16,10,100,98,0.0,1014,16,0,5,5
2009-12-13 06:00:00,30,16,0.0,13.4,1,1,15,02:28 AM,04:19 PM,05:10 AM,06:53 PM,16,22,25,22,9,18,72,0.0,1015,21,10,310,8
2009-12-13 09:00:00,30,16,0.0,13.4,1,1,15,02:28 AM,04:19 PM,05:10 AM,06:53 PM,17,28,28,28,12,12,52,0.4,1013,27,10,306,10
2009-12-13 12:00:00,30,16,0.0,13.4,1,1,15,02:28 AM,04:19 PM,05:10 AM,06:53 PM,17,31,31,31,7,18,44,0.0,1012,30,10,333,6
2009-12-13 15:00:00,30,16,0.0,13.4,1,1,15,02:28 AM,04:19 PM,05:10 AM,06:53 PM,17,29,29,29,9,15,48,0.0,1010,28,10,290,8
2009-12-13 18:00:00,30,16,0.0,13.4,1,1,15,02:28 AM,04:19 PM,05:10 AM,06:53 PM,15,25,25,23,15,7,60,0.0,1014,23,10,76,9
2009-12-13 21:00:00,30,16,0.0,13.4,1,1,15,02:28 AM,04:19 PM,05:10 AM,06:53 PM,16,20,20,20,29,34,82,1.3,1017,19,9,100,19
